# Dataset: padron_diputados
# Generado: 2026-05-24 01:24
# Filas: 257
# Fuente: Honorable Cámara de Diputados de la Nación Argentina (HCDN)
# URL fuente: https://www.hcdn.gob.ar/diputados/
# Método: Scraping del listado oficial + páginas individuales
# Licencia: CC BY 4.0 — citar como: Quórum (2026), Observatorio de Comportamiento Parlamentario Nacional
#
slug,apellido,nombre,distrito,periodo_mandato,fecha_inicio_mandato,fecha_fin_mandato,bloque,fecha_nacimiento,edad_anios,genero,profesion,profesion_categoria,foto_url,padron_snapshot_fecha
jmcampo,Campo,Julieta Marisol,CHACO,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1993-08-12,32,F,Fecha de Nac.: 12/08/1993,Otras / Sin definir,https://parlamentaria.hcdn.gob.ar/image/27360187867_20251127084629000_small.png,2026-02-17
scapozzi,Capozzi,Sergio Eduardo,RIO NEGRO,2023-2027,2023-12-10,2027-12-09,PROVINCIAS UNIDAS,1953-10-31,72,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/23111038589_20231129154056000_small.png,2026-02-17
mcarignano,Carignano,Florencia,SANTA FE,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1978-07-09,47,F,Licenciada en Relaciones Internacionales,Ciencias Sociales y Políticas,https://parlamentaria.hcdn.gob.ar/image/27266811425_20231218134938000_small.png,2026-02-17
acarrancio,Carrancio,Alejandro,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1976-07-01,49,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20253856409_20251127112724000_small.png,2026-02-17
scasas,Casas,Sergio Guillermo,LA RIOJA,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1965-02-19,61,M,Contador Público,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/20172493379_20231129154211000_small.png,2026-02-17
ccastagneto,Castagneto,Carlos Daniel,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1960-11-01,65,M,Contador Público,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/20139425163_20231128100920000_small.png,2026-02-17
gcastelnuovo,Castelnuovo,Giselle,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1979-11-13,46,F,Abogada,Derecho,https://parlamentaria.hcdn.gob.ar/image/27277670718_20251127091254000_small.png,2026-02-17
jchicam,Chica,Jorge,SAN JUAN,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1980-04-23,46,M,Técnico en gestión deportiva,Ingeniería y Técnicas,https://parlamentaria.hcdn.gob.ar/image/20275742253_20231128101110000_small.png,2026-02-17
rchiconi,Chiconi,Abel,SAN JUAN,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1986-01-25,40,M,Licenciado en Enología,Agropecuario,https://parlamentaria.hcdn.gob.ar/image/23320336813_20251202090052000_small.png,2026-02-17
gcipolini,Cipolini,Gerardo,CHACO,2023-2027,2023-12-10,2027-12-09,UCR - UNIÓN CÍVICA RADICAL,1943-03-29,83,M,Contador Público,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/20056678558_20231128100953000_small.png,2026-02-17
ccisneros,Cisneros,Carlos,TUCUMAN,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1962-07-21,63,M,Empleado Bancario,Trabajo y Oficios,https://parlamentaria.hcdn.gob.ar/image/20162164040_20200206125401_small.png,2026-02-17
mgcoletta,Coletta,Mariela,CIUDAD DE BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,PROVINCIAS UNIDAS,1989-05-16,37,F,Contadora,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/27345125391_20231128100429000_small.png,2026-02-17
fcorreal,Correa Llano,Facundo,MENDOZA,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1979-04-06,47,M,Contador Público,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/20268386131_20231218135336000_small.png,2026-02-17
lcampora,Cámpora,Lucía,CIUDAD DE BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1990-12-25,35,F,Abogada,Derecho,https://parlamentaria.hcdn.gob.ar/image/27357276328_20251127112232000_small.png,2026-02-17
rdaives,Daives,Ricardo,SANTIAGO DEL ESTERO,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1950-01-06,76,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20080476842_20231207100702000_small.png,2026-02-17
mdesensi,De Sensi,María Florencia,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,PRO,1988-01-22,38,F,Abogada,Derecho,https://parlamentaria.hcdn.gob.ar/image/27332948895_20251128092414000_small.png,2026-02-17
rdelpla,Del Plá,Romina,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,1972-04-02,54,F,Docente,Educación y Docencia,https://parlamentaria.hcdn.gob.ar/image/27226680565_20251127120203000_small.png,2026-02-17
